dates,flow_m3s_fire,flow_m3s_nofire,flow_m3s_%chg,sed_kgday_fire,sed_kgday_nofire,sed_kgday_%chg,sed_mgL_fire,sed_mgL_nofire,sed_mgL_%chg,nit_kgday_fire,nit_kgday_nofire,nit_kgday_%chg,nit_mgL_fire,nit_mgL_nofire,nit_mgL_%chg
2014-02-28,5.591,5.591,0,13.6,13.6,0,28.16,28.16,0,14.62,14.62,0,0.0302652410951463,0.0302652410951463,0
2014-03-01,4.263,4.263,0,9.392,9.392,0,25.5,25.5,0,14.84,14.84,0,0.0402907012102414,0.0402907012102414,0
2014-03-02,1.357,1.357,0,1.923,1.923,0,16.4,16.4,0,11.29,11.29,0,0.096294249297197,0.096294249297197,0
2014-03-03,1.337,1.337,0,1.863,1.863,0,16.13,16.13,0,8.979,8.979,0,0.0777289537106291,0.0777289537106291,0
2014-03-04,12.12,12.12,0,40.62,40.62,0,38.8,38.8,0,7.361,7.361,0,0.00702943558244713,0.00702943558244713,0
2014-03-05,51.09,51.09,0,153.6,153.6,0,34.81,34.81,0,19.7,19.7,0,0.00446289409393735,0.00446289409393735,0
2014-03-06,75.57,75.57,0,281.7,281.7,0,43.15,43.15,0,91.35,91.35,0,0.0139908914472233,0.0139908914472233,0
2014-03-07,20.73,20.73,0,84.73,84.73,0,47.29,47.29,0,107.5,107.5,0,0.0600199210305337,0.0600199210305337,0
2014-03-08,15.18,15.18,0,54.76,54.76,0,41.76,41.76,0,89.07,89.07,0,0.0679119089445176,0.0679119089445176,0
2014-03-09,22.61,22.61,0,95.6,95.6,0,48.94,48.94,0,78.05,78.05,0,0.0399538470358904,0.0399538470358904,0
2014-03-10,14.05,14.05,0,49.49,49.49,0,40.76,40.76,0,64.63,64.63,0,0.0532407407407407,0.0532407407407407,0
2014-03-11,4.936,4.936,0,11.67,11.67,0,27.36,27.36,0,48.86,48.86,0,0.114568326430158,0.114568326430158,0
2014-03-12,9.817,9.817,0,30.21,30.21,0,35.61,35.61,0,38.74,38.74,0,0.0456737933818508,0.0456737933818508,0
2014-03-13,14.18,14.18,0,50.4,50.4,0,41.14,41.14,0,30.61,30.61,0,0.0249846549652615,0.0249846549652615,0
2014-03-14,11.71,11.71,0,38.52,38.52,0,38.06,38.06,0,24.86,24.86,0,0.0245714330897935,0.0245714330897935,0
2014-03-15,7.335,7.335,0,20.21,20.21,0,31.88,31.88,0,20.25,20.25,0,0.0319529652351738,0.0319529652351738,0
2014-03-16,10.24,10.24,0,31.77,31.77,0,35.93,35.93,0,17.1,17.1,0,0.0193277994791667,0.0193277994791667,0
2014-03-17,7.082,7.082,0,19.22,19.22,0,31.4,31.4,0,14.3,14.3,0,0.0233704122083111,0.0233704122083111,0
2014-03-18,3.936,3.936,0,8.469,8.469,0,24.9,24.9,0,12.1,12.1,0,0.0355808679614574,0.0355808679614574,0
2014-03-19,3.617,3.617,0,7.576,7.576,0,24.25,24.25,0,10.56,10.56,0,0.0337910484440758,0.0337910484440758,0
2014-03-20,3.366,3.366,0,6.773,6.773,0,23.28,23.28,0,9.113,9.113,0,0.0313352754120728,0.0313352754120728,0
2014-03-21,3.239,3.239,0,6.467,6.467,0,23.11,23.11,0,8.224,8.224,0,0.0293872137033607,0.0293872137033607,0
2014-03-22,3.158,3.158,0,6.148,6.148,0,22.53,22.53,0,7.496,7.496,0,0.0274728496704431,0.0274728496704431,0
2014-03-23,3.1,3.1,0,6.118,6.118,0,22.84,22.84,0,6.837,6.837,0,0.0255264336917563,0.0255264336917563,0
2014-03-24,4.731,4.731,0,10.99,10.99,0,26.89,26.89,0,6.464,6.464,0,0.0158137422986292,0.0158137422986292,0
2014-03-25,6.746,6.746,0,17.79,17.79,0,30.52,30.52,0,6.372,6.372,0,0.0109324043877854,0.0109324043877854,0
2014-03-26,4.631,4.631,0,10.53,10.53,0,26.31,26.31,0,6.125,6.125,0,0.015307968841223,0.015307968841223,0
2014-03-27,3.597,3.597,0,7.497,7.497,0,24.12,24.12,0,5.765,5.765,0,0.0185500519980642,0.0185500519980642,0
2014-03-28,3.712,3.712,0,7.746,7.746,0,24.15,24.15,0,5.543,5.543,0,0.0172831607199872,0.0172831607199872,0
2014-03-29,4.823,4.823,0,11.13,11.13,0,26.72,26.72,0,5.387,5.387,0,0.0129275424086745,0.0129275424086745,0
2014-03-30,4.507,4.507,0,10.23,10.23,0,26.28,26.28,0,5.514,5.514,0,0.014160071986786,0.014160071986786,0
2014-03-31,3.998,3.998,0,8.501,8.501,0,24.61,24.61,0,5.137,5.137,0,0.0148714403498045,0.0148714403498045,0
2014-04-01,3.826,3.826,0,8.002,8.002,0,24.21,24.21,0,4.854,4.854,0,0.014683888017657,0.014683888017657,0
2014-04-02,4.972,4.972,0,11.56,11.56,0,26.9,26.9,0,4.763,4.763,0,0.0110875532612258,0.0110875532612258,0
2014-04-03,4.429,4.429,0,9.891,9.891,0,25.85,25.85,0,4.63,4.63,0,0.012099336862263,0.012099336862263,0
2014-04-04,4.301,4.301,0,9.572,9.572,0,25.76,25.76,0,4.527,4.527,0,0.0121822444392777,0.0121822444392777,0
2014-04-05,4.074,4.074,0,8.824,8.824,0,25.07,25.07,0,4.36,4.36,0,0.0123865888470699,0.0123865888470699,0
2014-04-06,5.853,5.853,0,14.59,14.59,0,28.84,28.84,0,4.286,4.286,0,0.00847539406825243,0.00847539406825243,0
2014-04-07,4.928,4.928,0,11.64,11.64,0,27.33,27.33,0,4.21,4.21,0,0.00988775402837903,0.00988775402837903,0
2014-04-08,7.491,7.491,0,20.67,20.67,0,31.94,31.94,0,4.146,4.146,0,0.00640583515032854,0.00640583515032854,0
2014-04-09,6.582,6.582,0,17.3,17.3,0,30.43,30.43,0,4.077,4.077,0,0.00716917350349438,0.00716917350349438,0
2014-04-10,4.472,4.472,0,10.09,10.09,0,26.12,26.12,0,3.902,3.902,0,0.0100988454912873,0.0100988454912873,0
2014-04-11,4.642,4.642,0,10.59,10.59,0,26.41,26.41,0,3.796,3.796,0,0.00946471029409418,0.00946471029409418,0
2014-04-12,4.578,4.578,0,10.3,10.3,0,26.05,26.05,0,3.676,3.676,0,0.00929364270342864,0.00929364270342864,0
2014-04-13,4.536,4.536,0,10.38,10.38,0,26.48,26.48,0,3.567,3.567,0,0.0091015701548109,0.0091015701548109,0
2014-04-14,4.761,4.761,0,10.86,10.86,0,26.41,26.41,0,3.485,3.485,0,0.00847209580931488,0.00847209580931488,0
2014-04-15,4.85,4.85,0,11.27,11.27,0,26.91,26.91,0,3.38,3.38,0,0.00806605574646812,0.00806605574646812,0
2014-04-16,4.16,4.16,0,9.201,9.201,0,25.6,25.6,0,3.303,3.303,0,0.00918970352564103,0.00918970352564103,0
2014-04-17,4.288,4.288,0,9.508,9.508,0,25.67,25.67,0,3.234,3.234,0,0.00872914075456053,0.00872914075456053,0
2014-04-18,4.337,4.337,0,9.737,9.737,0,25.99,25.99,0,3.274,3.274,0,0.00873726504923185,0.00873726504923185,0
2014-04-19,4.303,4.303,0,9.58,9.58,0,25.77,25.77,0,3.159,3.159,0,0.00849697885196375,0.00849697885196375,0
2014-04-20,4.174,4.174,0,9.27,9.27,0,25.7,25.7,0,3.006,3.006,0,0.00833532981951765,0.00833532981951765,0
2014-04-21,4.086,4.086,0,8.881,8.881,0,25.16,25.16,0,2.898,2.898,0,0.00820892478381465,0.00820892478381465,0
2014-04-22,4.929,4.929,0,13.84,13.84,0,32.49,32.49,0,5.422,5.422,0,0.0127317162973483,0.0127317162973483,0
2014-04-23,4.543,4.543,0,10.38,10.38,0,26.46,26.46,0,3.936,3.936,0,0.0100276371462812,0.0100276371462812,0
2014-04-24,7.935,7.935,0,22.31,22.31,0,32.54,32.54,0,6.973,6.973,0,0.0101708908025858,0.0101708908025858,0
2014-04-25,5.606,5.606,0,13.69,13.69,0,28.26,28.26,0,7.441,7.441,0,0.0153625910069899,0.0153625910069899,0
2014-04-26,5.044,5.044,0,11.89,11.89,0,27.29,27.29,0,6.176,6.176,0,0.0141715863365348,0.0141715863365348,0
2014-04-27,4.748,4.748,0,11.07,11.07,0,26.99,26.99,0,5.334,5.334,0,0.0130025507816157,0.0130025507816157,0
2014-04-28,4.564,4.564,0,10.23,10.23,0,25.95,25.95,0,5.009,5.009,0,0.0127025716557925,0.0127025716557925,0
2014-04-29,4.407,4.407,0,9.795,9.795,0,25.72,25.72,0,4.279,4.279,0,0.0112379085461681,0.0112379085461681,0
2014-04-30,4.284,4.284,0,9.507,9.507,0,25.69,25.69,0,3.701,3.701,0,0.00999898416156586,0.00999898416156586,0
2014-05-01,4.223,4.223,0,9.239,9.239,0,25.32,25.32,0,3.284,3.284,0,0.00900053498916866,0.00900053498916866,0
2014-05-02,3.981,3.981,0,8.682,8.682,0,25.24,25.24,0,2.926,2.926,0,0.00850684268795296,0.00850684268795296,0
2014-05-03,3.891,3.891,0,8.289,8.289,0,24.66,24.66,0,2.734,2.734,0,0.00813248998162902,0.00813248998162902,0
2014-05-04,3.826,3.826,0,8.008,8.008,0,24.23,24.23,0,2.567,2.567,0,0.00776545952643705,0.00776545952643705,0
2014-05-05,3.817,3.817,0,7.973,7.973,0,24.17,24.17,0,2.422,2.422,0,0.00734409415965612,0.00734409415965612,0
2014-05-06,3.708,3.708,0,7.742,7.742,0,24.17,24.17,0,2.247,2.247,0,0.00701373906268728,0.00701373906268728,0
2014-05-07,3.602,3.602,0,7.528,7.528,0,24.19,24.19,0,2.091,2.091,0,0.00671887531618237,0.00671887531618237,0
2014-05-08,3.557,3.557,0,7.335,7.335,0,23.87,23.87,0,1.991,1.991,0,0.00647848790595487,0.00647848790595487,0
2014-05-09,4.073,4.073,0,8.817,8.817,0,25.05,25.05,0,2.605,2.605,0,0.00740251975520819,0.00740251975520819,0
2014-05-10,3.93,3.93,0,8.45,8.45,0,24.88,24.88,0,2.329,2.329,0,0.00685903779097163,0.00685903779097163,0
