"Study_ID","Treatment.x","response","Climate.x","Ne","Xe","Treatment.y","Climate.y","Nc","Xc","lnR","percent_change","diff"
"11","Burn","NH4_mg_per_L_as_NH4","Mediterranean",510,0.0678253119421514,"Unburn","Not Specified",167,0.0465631929045536,0.376125080554553,62.3874919445447,0.0212621190375978
"12","Burn","NH4_mg_per_L_as_NH4","Mediterranean",81,0.0206303456790123,"Unburn","Other",51,0.00531698039215686,1.35585753632419,-35.5857536324189,0.0153133652868555
"16","Burn","NH4_mg_per_L_as_NH4","Mediterranean",59,0.135214618813559,"Unburn","Mediterranean",19,0.0276075121052632,1.58877537166636,-58.877537166636,0.107607106708296
"26","Burn","NH4_mg_per_L_as_NH4",NA,55,0.00585128969959455,"Unburn",NA,49,0.00343600190069592,0.532353541121898,46.7646458878102,0.00241528779889863
"9","Burn","NH4_mg_per_L_as_NH4","Mediterranean",11,0.0827272727272727,NA,NA,NA,NA,NA,NA,NA
"1","Burn","TDN_mg_N_per_L","Temperate",16,0.473125,"Unburn","Temperate",6,0.128333333333333,1.30472857857204,-30.4728578572039,0.344791666666667
"18","Burn","TDN_mg_N_per_L","Mediterranean",45,0.381534049777778,"Unburn","Alpine tundra/subalpine",39,0.244565757179487,0.444715880833207,55.5284119166793,0.136968292598291
"26","Burn","TDN_mg_N_per_L",NA,53,0.714576396415094,"Unburn",NA,52,0.261312217230769,1.00597398755352,-0.597398755352119,0.453264179184325
"4","Burn","TDN_mg_N_per_L","Temperate",6,0.126666666666667,"Unburn","Temperate",3,0.113333333333333,0.111225635110224,88.8774364889776,0.0133333333333333
"9","Burn","TDN_mg_N_per_L","Mediterranean",11,0.101818181818182,"Unburn","Mediterranean",1,0.12,-0.164303051291276,116.430305129128,-0.0181818181818182
