site,year,annual_yield
12494000,1965,485.113872188873
12494000,1966,291.967574649494
12494000,1967,417.17411869407
12494000,1968,401.582277040362
12494000,1969,476.025992811393
12494000,1970,359.04602244388
12494000,1971,542.647687582831
12494000,1972,865.91639631707
12494000,1973,218.1592976994
12494000,1974,747.844234105671
12494000,1975,659.934836906437
12494000,1976,584.782401060237
12494000,1977,219.266547335251
12494000,1978,390.226694192902
12499000,1899,730.148523022894
12499000,1900,535.380584791974
12499000,1906,479.188179952104
12499000,1908,584.197053223205
12499000,1909,553.650461554037
12499000,1910,612.501654031712
12499000,1911,352.194984870171
12499000,1912,404.855720297151
12499000,1988,327.362267051603
12499000,1989,351.827725414901
