Column_or_Row_Name,Unit,Definition,Data_Type,header_count,files
file,N/A,The SWAT file type the parameter is located in.,text,1,calibration-parameters.csv
flow_mm_yr,millimeters per year,The annual streamflow at the basin outlet,numeric,2,"annual_loads_rch_humid.csv, annual_loads_rch_semi-arid.csv"
humid,N/A,The calibrated parameter values for the humid; primarily forested basin.,numeric,2,"calibration-parameters.csv, table1-basin_summary.csv"
int,N/A,The value of the intercept value in the line of best fit for area burned and the response variable,numeric,6,"thresholds_avg_doc_mgL.csv, thresholds_avg_nitrate_mgL.csv, thresholds_doc_kg_yr.csv, thresholds_ET.csv, thresholds_nitrate_kg_yr.csv, thresholds_rr.csv"
landuse,N/A,"Either ""all"" if it applies to all landuses within the model or the SWAT landuse code for the applicable landuse.",text,1,calibration-parameters.csv
max,N/A,The maxium value,numeric,4,"avg_doc_mgL_perc_change.csv, avg_nitrate_mgL_perc_change.csv, flow_mm_yr_abs_change.csv, flow_mm_yr_perc_change.csv"
max_High,N/A,The maxium value for the high severity scenario,numeric,1,flowpath_change.csv
max_Low,N/A,The maxium value for the low severity scenario,numeric,1,flowpath_change.csv
max_Moderate,N/A,The maxium value for the moderate severity scenario,numeric,1,flowpath_change.csv
metric,,,text,1,tablea2-theshold_fits.csv
min,N/A,The minimum value,numeric,4,"avg_doc_mgL_perc_change.csv, avg_nitrate_mgL_perc_change.csv, flow_mm_yr_abs_change.csv, flow_mm_yr_perc_change.csv"
min_High,N/A,The minimum value for the high severity scenario,numeric,1,flowpath_change.csv
min_Low,N/A,The minimum value for the low severity scenario,numeric,1,flowpath_change.csv
min_Moderate,N/A,The minimum value for the moderate severity scenario,numeric,1,flowpath_change.csv
model,N/A,The model used for the line of best fit for area burned and the response variable. See manuscript for more details on model formulas.,text,6,"thresholds_avg_doc_mgL.csv, thresholds_avg_nitrate_mgL.csv, thresholds_doc_kg_yr.csv, thresholds_ET.csv, thresholds_nitrate_kg_yr.csv, thresholds_rr.csv"
name,N/A,The SWAT parameter name.,text,1,calibration-parameters.csv
nitrate_kg_yr,kilograms per year,The annual load of nitrate,numeric,2,"annual_loads_rch_humid.csv, annual_loads_rch_semi-arid.csv"
p_val,N/A,The p-value for the line of best fit for area burned and the response variable,text,7,"tablea2-theshold_fits.csv, thresholds_avg_doc_mgL.csv, thresholds_avg_nitrate_mgL.csv, thresholds_doc_kg_yr.csv, thresholds_ET.csv, thresholds_nitrate_kg_yr.csv, thresholds_rr.csv"
path,N/A,The path water takes to generate streamflow: surface; lateral; shallow groundwater; deep groundwater,text,1,flowpath_change.csv
precip_mm,millimeters per year,The average annual precipitation across the basin,numeric,2,"annual_loads_rch_humid.csv, annual_loads_rch_semi-arid.csv"
q_05_doc,milligrams per liter,The 5th quantile of dissolved organic carbon (DOC) concentrations,numeric,2,"annual_loads_rch_humid.csv, annual_loads_rch_semi-arid.csv"
q_05_nitrate,milligrams per liter,The 5th quantile of nitrate concentrations,numeric,2,"annual_loads_rch_humid.csv, annual_loads_rch_semi-arid.csv"
q_25_doc,milligrams per liter,The 25th quantile of dissolved organic carbon (DOC) concentrations,numeric,2,"annual_loads_rch_humid.csv, annual_loads_rch_semi-arid.csv"
q_25_nitrate,milligrams per liter,The 25th quantile of nitrate concentrations,numeric,2,"annual_loads_rch_humid.csv, annual_loads_rch_semi-arid.csv"
q_50_doc,milligrams per liter,The median of dissolved organic carbon (DOC) concentrations,numeric,2,"annual_loads_rch_humid.csv, annual_loads_rch_semi-arid.csv"
q_50_nitrate,milligrams per liter,The median of nitrate concentrations,numeric,2,"annual_loads_rch_humid.csv, annual_loads_rch_semi-arid.csv"
q_75_doc,milligrams per liter,The 75th quantile of dissolved organic carbon (DOC) concentrations,numeric,2,"annual_loads_rch_humid.csv, annual_loads_rch_semi-arid.csv"
q_75_nitrate,milligrams per liter,The 75th quantile of nitrate concentrations,numeric,2,"annual_loads_rch_humid.csv, annual_loads_rch_semi-arid.csv"
q_95_doc,milligrams per liter,The 95th quantile of dissolved organic carbon (DOC) concentrations,numeric,2,"annual_loads_rch_humid.csv, annual_loads_rch_semi-arid.csv"
q_95_nitrate,milligrams per liter,The 95th quantile of nitrate concentrations,numeric,2,"annual_loads_rch_humid.csv, annual_loads_rch_semi-arid.csv"
r2,N/A,The r-squared value for the line of best fit for area burned and the response variable,numeric,7,"tablea2-theshold_fits.csv, thresholds_avg_doc_mgL.csv, thresholds_avg_nitrate_mgL.csv, thresholds_doc_kg_yr.csv, thresholds_ET.csv, thresholds_nitrate_kg_yr.csv, thresholds_rr.csv"
scenario,N/A,"The area burned scenario given as ""PER_*"" where the * is the percentaged burned in the scenario",text,4,"annual_loads_rch_humid.csv, annual_loads_rch_semi-arid.csv, hru_summary_humid.csv, hru_summary_semi-arid.csv"
sd_doc_mgL,milligrams per liter,The standard deviation of dissolved organic carbon (DOC) concentrations,numeric,2,"annual_loads_rch_humid.csv, annual_loads_rch_semi-arid.csv"
sd_nitrate_mgL,milligrams per liter,The standard deviation of nitrate concentrations,numeric,2,"annual_loads_rch_humid.csv, annual_loads_rch_semi-arid.csv"
semi-arid,N/A,The calibrated parameter values for the semi-arid; mixed landuse basin.,numeric,2,"calibration-parameters.csv, table1-basin_summary.csv"
sev,N/A,The burn severity level (low; moderate; high),text,15,"annual_loads_rch_humid.csv, annual_loads_rch_semi-arid.csv, hru_summary_humid.csv, hru_summary_semi-arid.csv, avg_doc_mgL_perc_change.csv, avg_nitrate_mgL_perc_change.csv, flow_mm_yr_abs_change.csv, flow_mm_yr_perc_change.csv, tablea2-theshold_fits.csv, thresholds_avg_doc_mgL.csv, thresholds_avg_nitrate_mgL.csv, thresholds_doc_kg_yr.csv, thresholds_ET.csv, thresholds_nitrate_kg_yr.csv, thresholds_rr.csv"
thresh,percent,The percentage of area burn required to cross the threshold of unburned variability. See manuscript for more details on how this was derived.,numeric,7,"tablea2-theshold_fits.csv, thresholds_avg_doc_mgL.csv, thresholds_avg_nitrate_mgL.csv, thresholds_doc_kg_yr.csv, thresholds_ET.csv, thresholds_nitrate_kg_yr.csv, thresholds_rr.csv"
year,N/A,The year the precipitation records came from,numeric,4,"annual_loads_rch_humid.csv, annual_loads_rch_semi-arid.csv, hru_summary_humid.csv, hru_summary_semi-arid.csv"
